xdm_path,xdm_title,xdm_type,cja_id,cja_name,cja_type
productListItems._experience.analytics.customDimensions.eVars.eVar215,eVar215,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar216,eVar216,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar217,eVar217,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar218,eVar218,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar219,eVar219,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar22,eVar22,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar220,eVar220,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar221,eVar221,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar222,eVar222,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar223,eVar223,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar224,eVar224,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar225,eVar225,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar226,eVar226,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar227,eVar227,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar228,eVar228,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar229,eVar229,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar23,eVar23,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar230,eVar230,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar231,eVar231,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar232,eVar232,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar233,eVar233,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar234,eVar234,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar235,eVar235,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar236,eVar236,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar237,eVar237,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar238,eVar238,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar239,eVar239,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar24,eVar24,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar240,eVar240,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar241,eVar241,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar242,eVar242,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar243,eVar243,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar244,eVar244,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar245,eVar245,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar246,eVar246,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar247,eVar247,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar248,eVar248,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar249,eVar249,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar25,eVar25,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar250,eVar250,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar26,eVar26,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar27,eVar27,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar28,eVar28,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar29,eVar29,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar3,eVar3,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar30,eVar30,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar31,eVar31,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar32,eVar32,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar33,eVar33,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar34,eVar34,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar35,eVar35,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar36,eVar36,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar37,eVar37,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar38,eVar38,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar39,eVar39,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar4,eVar4,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar40,eVar40,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar41,eVar41,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar42,eVar42,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar43,eVar43,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar44,eVar44,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar45,eVar45,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar46,eVar46,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar47,eVar47,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar48,eVar48,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar49,eVar49,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar5,eVar5,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar50,eVar50,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar51,eVar51,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar52,eVar52,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar53,eVar53,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar54,eVar54,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar55,eVar55,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar56,eVar56,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar57,eVar57,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar58,eVar58,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar59,eVar59,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar6,eVar6,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar60,eVar60,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar61,eVar61,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar62,eVar62,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar63,eVar63,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar64,eVar64,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar65,eVar65,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar66,eVar66,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar67,eVar67,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar68,eVar68,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar69,eVar69,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar7,eVar7,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar70,eVar70,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar71,eVar71,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar72,eVar72,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar73,eVar73,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar74,eVar74,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar75,eVar75,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar76,eVar76,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar77,eVar77,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar78,eVar78,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar79,eVar79,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar8,eVar8,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar80,eVar80,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar81,eVar81,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar82,eVar82,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar83,eVar83,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar84,eVar84,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar85,eVar85,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar86,eVar86,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar87,eVar87,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar88,eVar88,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar89,eVar89,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar9,eVar9,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar90,eVar90,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar91,eVar91,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar92,eVar92,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar93,eVar93,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar94,eVar94,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar95,eVar95,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar96,eVar96,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar97,eVar97,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar98,eVar98,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar99,eVar99,string,,,
productListItems._experience.analytics.event101to200.event101.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event101.value,,number,,,
productListItems._experience.analytics.event101to200.event102.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event102.value,,number,,,
productListItems._experience.analytics.event101to200.event103.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event103.value,,number,,,
productListItems._experience.analytics.event101to200.event104.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event104.value,,number,,,
productListItems._experience.analytics.event101to200.event105.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event105.value,,number,,,
productListItems._experience.analytics.event101to200.event106.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event106.value,,number,,,
productListItems._experience.analytics.event101to200.event107.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event107.value,,number,,,
productListItems._experience.analytics.event101to200.event108.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event108.value,,number,,,
