xdm_path,xdm_title,xdm_type,cja_id,cja_name,cja_type
productListItems._experience.analytics.event801to900.event805.value,,number,,,
productListItems._experience.analytics.event801to900.event806.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event806.value,,number,,,
productListItems._experience.analytics.event801to900.event807.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event807.value,,number,,,
productListItems._experience.analytics.event801to900.event808.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event808.value,,number,,,
productListItems._experience.analytics.event801to900.event809.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event809.value,,number,,,
productListItems._experience.analytics.event801to900.event810.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event810.value,,number,,,
productListItems._experience.analytics.event801to900.event811.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event811.value,,number,,,
productListItems._experience.analytics.event801to900.event812.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event812.value,,number,,,
productListItems._experience.analytics.event801to900.event813.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event813.value,,number,,,
productListItems._experience.analytics.event801to900.event814.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event814.value,,number,,,
productListItems._experience.analytics.event801to900.event815.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event815.value,,number,,,
productListItems._experience.analytics.event801to900.event816.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event816.value,,number,,,
productListItems._experience.analytics.event801to900.event817.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event817.value,,number,,,
productListItems._experience.analytics.event801to900.event818.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event818.value,,number,,,
productListItems._experience.analytics.event801to900.event819.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event819.value,,number,,,
productListItems._experience.analytics.event801to900.event820.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event820.value,,number,,,
productListItems._experience.analytics.event801to900.event821.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event821.value,,number,,,
productListItems._experience.analytics.event801to900.event822.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event822.value,,number,,,
productListItems._experience.analytics.event801to900.event823.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event823.value,,number,,,
productListItems._experience.analytics.event801to900.event824.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event824.value,,number,,,
productListItems._experience.analytics.event801to900.event825.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event825.value,,number,,,
productListItems._experience.analytics.event801to900.event826.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event826.value,,number,,,
productListItems._experience.analytics.event801to900.event827.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event827.value,,number,,,
productListItems._experience.analytics.event801to900.event828.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event828.value,,number,,,
productListItems._experience.analytics.event801to900.event829.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event829.value,,number,,,
productListItems._experience.analytics.event801to900.event830.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event830.value,,number,,,
productListItems._experience.analytics.event801to900.event831.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event831.value,,number,,,
productListItems._experience.analytics.event801to900.event832.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event832.value,,number,,,
productListItems._experience.analytics.event801to900.event833.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event833.value,,number,,,
productListItems._experience.analytics.event801to900.event834.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event834.value,,number,,,
productListItems._experience.analytics.event801to900.event835.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event835.value,,number,,,
productListItems._experience.analytics.event801to900.event836.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event836.value,,number,,,
productListItems._experience.analytics.event801to900.event837.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event837.value,,number,,,
productListItems._experience.analytics.event801to900.event838.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event838.value,,number,,,
productListItems._experience.analytics.event801to900.event839.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event839.value,,number,,,
productListItems._experience.analytics.event801to900.event840.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event840.value,,number,,,
productListItems._experience.analytics.event801to900.event841.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event841.value,,number,,,
productListItems._experience.analytics.event801to900.event842.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event842.value,,number,,,
productListItems._experience.analytics.event801to900.event843.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event843.value,,number,,,
productListItems._experience.analytics.event801to900.event844.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event844.value,,number,,,
productListItems._experience.analytics.event801to900.event845.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event845.value,,number,,,
productListItems._experience.analytics.event801to900.event846.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event846.value,,number,,,
productListItems._experience.analytics.event801to900.event847.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event847.value,,number,,,
productListItems._experience.analytics.event801to900.event848.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event848.value,,number,,,
productListItems._experience.analytics.event801to900.event849.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event849.value,,number,,,
productListItems._experience.analytics.event801to900.event850.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event850.value,,number,,,
productListItems._experience.analytics.event801to900.event851.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event851.value,,number,,,
productListItems._experience.analytics.event801to900.event852.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event852.value,,number,,,
productListItems._experience.analytics.event801to900.event853.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event853.value,,number,,,
productListItems._experience.analytics.event801to900.event854.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event854.value,,number,,,
productListItems._experience.analytics.event801to900.event855.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event855.value,,number,,,
productListItems._experience.analytics.event801to900.event856.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event856.value,,number,,,
productListItems._experience.analytics.event801to900.event857.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event857.value,,number,,,
productListItems._experience.analytics.event801to900.event858.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event858.value,,number,,,
productListItems._experience.analytics.event801to900.event859.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event859.value,,number,,,
productListItems._experience.analytics.event801to900.event860.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event860.value,,number,,,
productListItems._experience.analytics.event801to900.event861.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event861.value,,number,,,
productListItems._experience.analytics.event801to900.event862.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event862.value,,number,,,
productListItems._experience.analytics.event801to900.event863.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event863.value,,number,,,
productListItems._experience.analytics.event801to900.event864.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event864.value,,number,,,
productListItems._experience.analytics.event801to900.event865.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event865.value,,number,,,
productListItems._experience.analytics.event801to900.event866.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event866.value,,number,,,
productListItems._experience.analytics.event801to900.event867.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event867.value,,number,,,
productListItems._experience.analytics.event801to900.event868.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event868.value,,number,,,
productListItems._experience.analytics.event801to900.event869.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event869.value,,number,,,
productListItems._experience.analytics.event801to900.event870.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event870.value,,number,,,
productListItems._experience.analytics.event801to900.event871.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event871.value,,number,,,
productListItems._experience.analytics.event801to900.event872.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event872.value,,number,,,
productListItems._experience.analytics.event801to900.event873.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event873.value,,number,,,
productListItems._experience.analytics.event801to900.event874.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event874.value,,number,,,
productListItems._experience.analytics.event801to900.event875.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event875.value,,number,,,
productListItems._experience.analytics.event801to900.event876.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event876.value,,number,,,
productListItems._experience.analytics.event801to900.event877.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event877.value,,number,,,
productListItems._experience.analytics.event801to900.event878.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event878.value,,number,,,
productListItems._experience.analytics.event801to900.event879.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event879.value,,number,,,
productListItems._experience.analytics.event801to900.event880.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event880.value,,number,,,
productListItems._experience.analytics.event801to900.event881.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event881.value,,number,,,
productListItems._experience.analytics.event801to900.event882.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event882.value,,number,,,
productListItems._experience.analytics.event801to900.event883.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event883.value,,number,,,
productListItems._experience.analytics.event801to900.event884.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event884.value,,number,,,
productListItems._experience.analytics.event801to900.event885.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event885.value,,number,,,
productListItems._experience.analytics.event801to900.event886.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event886.value,,number,,,
productListItems._experience.analytics.event801to900.event887.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event887.value,,number,,,
productListItems._experience.analytics.event801to900.event888.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event888.value,,number,,,
productListItems._experience.analytics.event801to900.event889.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event889.value,,number,,,
productListItems._experience.analytics.event801to900.event890.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event890.value,,number,,,
productListItems._experience.analytics.event801to900.event891.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event891.value,,number,,,
productListItems._experience.analytics.event801to900.event892.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event892.value,,number,,,
productListItems._experience.analytics.event801to900.event893.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event893.value,,number,,,
productListItems._experience.analytics.event801to900.event894.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event894.value,,number,,,
productListItems._experience.analytics.event801to900.event895.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event895.value,,number,,,
productListItems._experience.analytics.event801to900.event896.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event896.value,,number,,,
productListItems._experience.analytics.event801to900.event897.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event897.value,,number,,,
productListItems._experience.analytics.event801to900.event898.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event898.value,,number,,,
productListItems._experience.analytics.event801to900.event899.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event899.value,,number,,,
productListItems._experience.analytics.event801to900.event900.id,Unique Identifier,string,,,
productListItems._experience.analytics.event801to900.event900.value,,number,,,
productListItems._experience.analytics.event901to1000.event1000.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event1000.value,,number,,,
productListItems._experience.analytics.event901to1000.event901.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event901.value,,number,,,
productListItems._experience.analytics.event901to1000.event902.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event902.value,,number,,,
productListItems._experience.analytics.event901to1000.event903.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event903.value,,number,,,
productListItems._experience.analytics.event901to1000.event904.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event904.value,,number,,,
productListItems._experience.analytics.event901to1000.event905.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event905.value,,number,,,
productListItems._experience.analytics.event901to1000.event906.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event906.value,,number,,,
productListItems._experience.analytics.event901to1000.event907.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event907.value,,number,,,
productListItems._experience.analytics.event901to1000.event908.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event908.value,,number,,,
productListItems._experience.analytics.event901to1000.event909.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event909.value,,number,,,
productListItems._experience.analytics.event901to1000.event910.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event910.value,,number,,,
productListItems._experience.analytics.event901to1000.event911.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event911.value,,number,,,
productListItems._experience.analytics.event901to1000.event912.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event912.value,,number,,,
productListItems._experience.analytics.event901to1000.event913.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event913.value,,number,,,
productListItems._experience.analytics.event901to1000.event914.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event914.value,,number,,,
productListItems._experience.analytics.event901to1000.event915.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event915.value,,number,,,
productListItems._experience.analytics.event901to1000.event916.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event916.value,,number,,,
productListItems._experience.analytics.event901to1000.event917.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event917.value,,number,,,
productListItems._experience.analytics.event901to1000.event918.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event918.value,,number,,,
productListItems._experience.analytics.event901to1000.event919.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event919.value,,number,,,
productListItems._experience.analytics.event901to1000.event920.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event920.value,,number,,,
productListItems._experience.analytics.event901to1000.event921.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event921.value,,number,,,
productListItems._experience.analytics.event901to1000.event922.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event922.value,,number,,,
productListItems._experience.analytics.event901to1000.event923.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event923.value,,number,,,
productListItems._experience.analytics.event901to1000.event924.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event924.value,,number,,,
productListItems._experience.analytics.event901to1000.event925.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event925.value,,number,,,
productListItems._experience.analytics.event901to1000.event926.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event926.value,,number,,,
productListItems._experience.analytics.event901to1000.event927.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event927.value,,number,,,
productListItems._experience.analytics.event901to1000.event928.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event928.value,,number,,,
productListItems._experience.analytics.event901to1000.event929.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event929.value,,number,,,
productListItems._experience.analytics.event901to1000.event930.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event930.value,,number,,,
productListItems._experience.analytics.event901to1000.event931.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event931.value,,number,,,
productListItems._experience.analytics.event901to1000.event932.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event932.value,,number,,,
productListItems._experience.analytics.event901to1000.event933.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event933.value,,number,,,
productListItems._experience.analytics.event901to1000.event934.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event934.value,,number,,,
productListItems._experience.analytics.event901to1000.event935.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event935.value,,number,,,
productListItems._experience.analytics.event901to1000.event936.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event936.value,,number,,,
productListItems._experience.analytics.event901to1000.event937.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event937.value,,number,,,
productListItems._experience.analytics.event901to1000.event938.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event938.value,,number,,,
productListItems._experience.analytics.event901to1000.event939.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event939.value,,number,,,
productListItems._experience.analytics.event901to1000.event940.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event940.value,,number,,,
productListItems._experience.analytics.event901to1000.event941.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event941.value,,number,,,
productListItems._experience.analytics.event901to1000.event942.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event942.value,,number,,,
productListItems._experience.analytics.event901to1000.event943.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event943.value,,number,,,
productListItems._experience.analytics.event901to1000.event944.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event944.value,,number,,,
productListItems._experience.analytics.event901to1000.event945.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event945.value,,number,,,
productListItems._experience.analytics.event901to1000.event946.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event946.value,,number,,,
productListItems._experience.analytics.event901to1000.event947.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event947.value,,number,,,
productListItems._experience.analytics.event901to1000.event948.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event948.value,,number,,,
productListItems._experience.analytics.event901to1000.event949.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event949.value,,number,,,
productListItems._experience.analytics.event901to1000.event950.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event950.value,,number,,,
productListItems._experience.analytics.event901to1000.event951.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event951.value,,number,,,
productListItems._experience.analytics.event901to1000.event952.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event952.value,,number,,,
productListItems._experience.analytics.event901to1000.event953.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event953.value,,number,,,
productListItems._experience.analytics.event901to1000.event954.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event954.value,,number,,,
productListItems._experience.analytics.event901to1000.event955.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event955.value,,number,,,
productListItems._experience.analytics.event901to1000.event956.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event956.value,,number,,,
productListItems._experience.analytics.event901to1000.event957.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event957.value,,number,,,
productListItems._experience.analytics.event901to1000.event958.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event958.value,,number,,,
productListItems._experience.analytics.event901to1000.event959.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event959.value,,number,,,
productListItems._experience.analytics.event901to1000.event960.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event960.value,,number,,,
productListItems._experience.analytics.event901to1000.event961.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event961.value,,number,,,
productListItems._experience.analytics.event901to1000.event962.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event962.value,,number,,,
productListItems._experience.analytics.event901to1000.event963.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event963.value,,number,,,
productListItems._experience.analytics.event901to1000.event964.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event964.value,,number,,,
productListItems._experience.analytics.event901to1000.event965.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event965.value,,number,,,
productListItems._experience.analytics.event901to1000.event966.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event966.value,,number,,,
productListItems._experience.analytics.event901to1000.event967.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event967.value,,number,,,
productListItems._experience.analytics.event901to1000.event968.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event968.value,,number,,,
productListItems._experience.analytics.event901to1000.event969.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event969.value,,number,,,
productListItems._experience.analytics.event901to1000.event970.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event970.value,,number,,,
productListItems._experience.analytics.event901to1000.event971.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event971.value,,number,,,
productListItems._experience.analytics.event901to1000.event972.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event972.value,,number,,,
productListItems._experience.analytics.event901to1000.event973.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event973.value,,number,,,
productListItems._experience.analytics.event901to1000.event974.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event974.value,,number,,,
productListItems._experience.analytics.event901to1000.event975.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event975.value,,number,,,
productListItems._experience.analytics.event901to1000.event976.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event976.value,,number,,,
productListItems._experience.analytics.event901to1000.event977.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event977.value,,number,,,
productListItems._experience.analytics.event901to1000.event978.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event978.value,,number,,,
productListItems._experience.analytics.event901to1000.event979.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event979.value,,number,,,
productListItems._experience.analytics.event901to1000.event980.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event980.value,,number,,,
productListItems._experience.analytics.event901to1000.event981.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event981.value,,number,,,
productListItems._experience.analytics.event901to1000.event982.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event982.value,,number,,,
productListItems._experience.analytics.event901to1000.event983.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event983.value,,number,,,
productListItems._experience.analytics.event901to1000.event984.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event984.value,,number,,,
productListItems._experience.analytics.event901to1000.event985.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event985.value,,number,,,
productListItems._experience.analytics.event901to1000.event986.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event986.value,,number,,,
productListItems._experience.analytics.event901to1000.event987.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event987.value,,number,,,
productListItems._experience.analytics.event901to1000.event988.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event988.value,,number,,,
productListItems._experience.analytics.event901to1000.event989.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event989.value,,number,,,
productListItems._experience.analytics.event901to1000.event990.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event990.value,,number,,,
productListItems._experience.analytics.event901to1000.event991.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event991.value,,number,,,
productListItems._experience.analytics.event901to1000.event992.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event992.value,,number,,,
productListItems._experience.analytics.event901to1000.event993.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event993.value,,number,,,
productListItems._experience.analytics.event901to1000.event994.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event994.value,,number,,,
productListItems._experience.analytics.event901to1000.event995.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event995.value,,number,,,
productListItems._experience.analytics.event901to1000.event996.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event996.value,,number,,,
productListItems._experience.analytics.event901to1000.event997.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event997.value,,number,,,
productListItems._experience.analytics.event901to1000.event998.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event998.value,,number,,,
productListItems._experience.analytics.event901to1000.event999.id,Unique Identifier,string,,,
productListItems._experience.analytics.event901to1000.event999.value,,number,,,
productListItems.SKU,SKU,string,,,
productListItems.currencyCode,Currency code,string,,,
productListItems.discountAmount,Discount Amount,number,,,
productListItems.name,Name,string,,,
productListItems.priceTotal,Price total,number,,,
productListItems.product,Product,string,,,
productListItems.productAddMethod,Product add method,string,,,
productListItems.productCategories,Product categories,array,,,
productListItems.productCategories.categoryID,Category identifier.,string,,,
productListItems.productCategories.categoryName,Category name,string,,,
productListItems.productCategories.categoryPath,Category path,string,,,
productListItems.productImageUrl,Product Image URL,string,,,
productListItems.quantity,Quantity,integer,,,
productListItems.refundAmount,Refund Amount,number,,,
productListItems.returnItem.returnItemCondition,Return Item Condition,string,,,
productListItems.returnItem.returnQuanitityAuthorized,Return Quantity Authorized,integer,,,
productListItems.returnItem.returnQuantityApproved,Return Quantity Approved,integer,,,
productListItems.returnItem.returnQuantityAuthorized,Return Quantity Authorized,integer,,,
productListItems.returnItem.returnQuantityReceived,Return Quantity Received,integer,,,
productListItems.returnItem.returnQuantityRequested,Return Quantity Requested,integer,,,
productListItems.returnItem.returnReason,Return Reason,string,,,
productListItems.returnItem.returnResolution,Return Resolution,string,,,
productListItems.returnItem.returnStatus,Return Status,string,,,
productListItems.selectedOptions,Selected Options,array,,,
productListItems.selectedOptions.attribute,Configurable attribute name,string,,,
productListItems.selectedOptions.value,Selected option value,string,,,
productListItems.unitOfMeasureCode,Product Unit Of Measure Code,string,,,
web._acxpevangelist.pagetype,Page Type,string,,,
implementationDetails._acxpevangelist.qm_eventName,Quantum Metric Event Name,string,variables/implementationDetails._acxpevangelist.qm_eventName,Quantum Metric Event Name,dimension
implementationDetails._acxpevangelist.qm_errorName,Quantum Metric Error Name,string,variables/implementationDetails._acxpevangelist.qm_errorName,Quantum Metric Error Name,dimension
implementationDetails._acxpevangelist.qm_sessionID,Quantum Metric Session ID,string,variables/implementationDetails._acxpevangelist.qm_sessionID_source,qm_sessionID_source,dimension
implementationDetails._acxpevangelist.qm_sessionID,Quantum Metric Session ID,string,variables/implementationDetails._acxpevangelist.qm_sessionID_source_1,qm_sessionID_source ONLY,dimension
implementationDetails._acxpevangelist.qm_sessionID,Quantum Metric Session ID,string,variables/implementationDetails._acxpevangelist.qm_sessionID,Adobe Journey ID (for QM),dimension
implementationDetails._acxpevangelist.qm_ownedSessionID,Quantum Metrics Session ID,string,variables/implementationDetails._acxpevangelist.qm_ownedSessionID,Quantum Metrics Owned Session ID,dimension
implementationDetails._acxpevangelist.qm_sessionID_source,qm_sessionID_source,string,variables/implementationDetails._acxpevangelist.qm_sessionID_source,qm_sessionID_source,dimension
implementationDetails._acxpevangelist.qm_sessionID_source,qm_sessionID_source,string,variables/implementationDetails._acxpevangelist.qm_sessionID_source_1,qm_sessionID_source ONLY,dimension
environment.browserDetails._acxpevangelist.customUserAgent,customUserAgent,string,,,
